sym,exp,dte,side,spot,n_strikes,iv_near,k_near,iv_interp,k_lo,k_hi,oi_near,vol_near,spr_near,mid_near,zero_bid_frac,oi_total,vol_total
YELP,2027-02-19,158,P,21.780000686645508,13,0.5388229711914063,22.0,0.545053358190898,21.0,22.0,7.0,3.0,0.7000000000000002,2.85,0.0,341.0,87.0
FORM,2026-09-18,4,C,107.25,20,0.8745129736328124,105.0,0.8521010883789062,105.0,110.0,157.0,1.0,2.5,5.55,0.45,6817.0,95.0
FORM,2026-09-18,4,P,107.25,23,0.7971211694335938,105.0,0.7865743999023438,105.0,110.0,258.0,18.0,1.75,2.925,0.391304347826087,5813.0,254.0
FORM,2026-10-16,32,C,107.25,33,0.7861349511718749,105.0,0.7737754556274414,105.0,110.0,226.0,5.0,2.6999999999999993,11.15,0.30303030303030304,3710.0,136.0
FORM,2026-10-16,32,P,107.25,30,0.7028838305664062,105.0,0.7035430036621095,105.0,110.0,156.0,5.0,0.9000000000000004,7.8500000000000005,0.2,3326.0,103.0
FORM,2027-01-15,123,C,107.25,33,0.8433853552246093,105.0,0.8434952174072265,105.0,110.0,35.0,1.0,2.5,21.75,0.0,1694.0,113.0
FORM,2027-01-15,123,P,107.25,26,0.7726463165283204,105.0,0.7716300913391114,105.0,110.0,34.0,1.0,2.3999999999999986,17.8,0.0,626.0,120.0
FORM,2027-04-16,214,C,107.25,13,0.8571791625976561,105.0,0.855421367675781,105.0,120.0,20.0,20.0,3.0,28.5,0.0,74.0,37.0
FORM,2027-04-16,214,P,107.25,10,0.7572045764160158,105.0,0.7585641209259035,105.0,115.0,1.0,0.0,2.5,23.15,0.0,36.0,10.0
FORM,2028-01-21,494,C,107.25,29,0.9044199011230469,105.0,0.9027994339294434,105.0,110.0,15.0,3.0,3.5,43.75,0.0,302.0,80.0
FORM,2028-01-21,494,P,107.25,16,0.7661766546630859,110.0,0.7666969741668701,100.0,110.0,10.0,2.0,3.3999999999999986,38.8,0.0,136.0,56.0
AVAV,2026-09-18,4,C,152.38999938964844,75,0.5979044116210939,152.5,0.5955196566116513,150.0,152.5,112.0,29.0,0.6000000000000001,4.2,0.5066666666666667,18364.0,1534.0
AVAV,2026-09-18,4,P,152.38999938964844,83,0.7722190747070312,152.5,0.7722942696848065,150.0,152.5,31.0,1.0,0.9000000000000004,5.55,0.27710843373493976,10645.0,806.0
AVAV,2026-09-25,11,C,152.38999938964844,42,0.5900919897460939,152.5,0.588802932984233,150.0,152.5,6.0,6.0,1.2999999999999998,6.449999999999999,0.2619047619047619,2163.0,384.0
AVAV,2026-09-25,11,P,152.38999938964844,50,0.6755403540039064,152.5,0.681631147203699,150.0,152.5,1.0,0.0,3.8000000000000007,7.5,0.24,1000.0,223.0
AVAV,2026-10-02,18,C,152.38999938964844,30,0.5999795861816408,150.0,0.5845754472834768,150.0,155.0,129.0,15.0,4.0,7.5,0.4,980.0,190.0
AVAV,2026-10-02,18,P,152.38999938964844,20,0.6468541174316407,150.0,0.6501216620464029,150.0,155.0,84.0,4.0,0.8999999999999995,7.75,0.15,613.0,84.0
AVAV,2026-10-09,25,C,152.38999938964844,21,0.5786174951171875,150.0,0.5782674010513201,150.0,155.0,51.0,1.0,0.9000000000000004,10.55,0.23809523809523808,472.0,77.0
AVAV,2026-10-09,25,P,152.38999938964844,18,0.6344030700683594,150.0,0.6881425091789999,150.0,155.0,21.0,3.0,1.299999999999999,9.05,0.16666666666666666,386.0,71.0
AVAV,2026-10-16,32,C,152.38999938964844,27,0.5719647296142578,150.0,0.5698933397245426,150.0,155.0,281.0,5.0,0.8000000000000007,11.6,0.0,3328.0,173.0
AVAV,2026-10-16,32,P,152.38999938964844,25,0.6131630480957033,150.0,0.6133964441396149,150.0,155.0,215.0,25.0,0.5,9.95,0.04,2710.0,170.0
AVAV,2026-10-23,39,C,152.38999938964844,24,0.6103554589843752,150.0,0.5959432532728353,150.0,155.0,45.0,89.0,4.5,11.15,0.041666666666666664,679.0,128.0
AVAV,2026-10-23,39,P,152.38999938964844,21,0.6276282354736329,150.0,0.6451329387670013,150.0,155.0,2.0,0.0,1.5,11.35,0.047619047619047616,516.0,13.0
AVAV,2026-10-30,46,C,152.38999938964844,14,0.5513960876464845,150.0,0.573247792257706,150.0,155.0,7.0,2.0,3.3000000000000007,13.15,0.0,49.0,15.0
AVAV,2026-10-30,46,P,152.38999938964844,16,0.6186561572265626,150.0,0.636933984915388,150.0,160.0,11.0,0.0,1.4000000000000004,12.2,0.125,80.0,0.0
AVAV,2026-12-18,95,C,152.38999938964844,37,0.6604037866210939,150.0,0.6412653110203447,150.0,155.0,267.0,1.0,1.6999999999999993,21.549999999999997,0.0,4220.0,307.0
AVAV,2026-12-18,95,P,152.38999938964844,37,0.6601596484375001,150.0,0.669612188215919,150.0,155.0,194.0,7.0,1.3000000000000007,19.15,0.0,4433.0,370.0
