date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-05-21,COHR,BUY,,05 AI网络 / 光模块,Gann_BUY_A_new_zero,,378.0,0.007143,,,,,0.007143,1,0.8884194741178228,59.82818625811176,95.34869735368653,1.694212989644027e-57,56.78434233192034,60.04465469797806
2026-05-21,COHU,BUY,,98 COWOS,BUY_B_D1FJ_low_H4_0birth,,45.65,0.025849,,,,,0.025849,1,0.8009898391374873,52.99706558778141,55.74875128547338,1.193338225774093e-15,47.86166218612902,51.62477600972679
2026-05-21,ENTG,BUY,,98 COWOS,BUY_B_D1FJ_low_H4_0birth,,131.39,0.020062,,,,,0.020062,1,0.6874609784795869,44.00449198279712,0.0,0.3158001956163789,42.33847998378582,52.2697605596251
2026-05-21,FLNC,BUY,,09 储能,Gann_BUY_A_new_zero,,20.19,0.106736,,,,,0.106736,1,0.4098039591509494,58.44675894650116,58.52183010617462,8.387981051332818e-05,55.87351497324327,56.73517731382161
2026-05-21,GLW,BUY,,05 AI网络 / 光模块,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,191.89,0.008859,,,,,0.008859,1,0.8692773987183858,57.7608743395166,72.26519750080817,2.498443007337366e-37,56.12740397837343,62.373269693495
2026-05-21,LITE,BUY,,05 AI网络 / 光模块,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,964.5,-0.000995,,,,,-0.000995,1,0.8819241222372476,54.84974864212129,59.90785561262659,0.0,53.78856227594984,61.45424371133017
2026-05-21,LWLG,BUY,,05 AI网络 / 光模块,BUY_B_D1FJ_low_H4_0birth,,13.17,-0.019742,,,,,-0.019742,1,0.6688524935137246,49.87990244577013,0.0,2.327967874777103e-22,47.04148990097991,54.20447414145846
2026-05-21,NBIS,BUY,,98 数据中心,Gann_BUY_A_new_zero,,219.93,-0.017493,,,,,-0.017493,1,0.9917164496604199,65.91051449908613,95.44439686214753,3.413994799158028e-22,62.14670651719479,65.55144010066059
2026-05-21,NUE,BUY,,13 材料 / 电网,BUY_B_D1FJ_low_H4_0birth,,226.44,0.022412,,,,,0.022412,1,0.8981542238321952,61.00804953199199,72.53736407072424,4.185473095052495e-13,52.0038180924014,50.91939105080654
2026-05-21,RIO,BUY,,13 材料 / 电网,BUY_B_D1FJ_low_H4_0birth + Gann_BUY_A_new_zero,,104.76,-0.004964,,,,,-0.004964,1,0.8184086291126933,54.79379490526942,68.64480837683774,2.842393514147051e-13,52.11364972837938,53.97835904262189
